,agent_activation_regime,influence_error_distribution,influence_model,network_structure_model,population_size
1,synchronous,none,standard_model,erdos_renyi_random(N),100
2,synchronous,none,standard_model,erdos_renyi_random(N),1000
3,synchronous,none,standard_model,erdos_renyi_random(N),10000
4,synchronous,none,standard_model,"small_world(N, 0.0, 3)",100
5,synchronous,none,standard_model,"small_world(N, 0.0, 3)",1000
6,synchronous,none,standard_model,"small_world(N, 0.0, 3)",10000
7,synchronous,none,standard_model,"small_world(N, 0.0, 10)",100
8,synchronous,none,standard_model,"small_world(N, 0.0, 10)",1000
9,synchronous,none,standard_model,"small_world(N, 0.0, 10)",10000
10,synchronous,none,standard_model,"small_world(N, 0.33, 3)",100
11,synchronous,none,standard_model,"small_world(N, 0.33, 3)",1000
12,synchronous,none,standard_model,"small_world(N, 0.33, 3)",10000
13,synchronous,none,standard_model,"small_world(N, 0.33, 10)",100
14,synchronous,none,standard_model,"small_world(N, 0.33, 10)",1000
15,synchronous,none,standard_model,"small_world(N, 0.33, 10)",10000
16,synchronous,none,standard_model,"small_world(N, 0.66, 3)",100
17,synchronous,none,standard_model,"small_world(N, 0.66, 3)",1000
18,synchronous,none,standard_model,"small_world(N, 0.66, 3)",10000
19,synchronous,none,standard_model,"small_world(N, 0.66, 10)",100
20,synchronous,none,standard_model,"small_world(N, 0.66, 10)",1000
21,synchronous,none,standard_model,"small_world(N, 0.66, 10)",10000
22,synchronous,none,standard_model,"scale_free(N, 1)",100
23,synchronous,none,standard_model,"scale_free(N, 1)",1000
24,synchronous,none,standard_model,"scale_free(N, 1)",10000
25,synchronous,none,standard_model,"scale_free(N, 3)",100
26,synchronous,none,standard_model,"scale_free(N, 3)",1000
27,synchronous,none,standard_model,"scale_free(N, 3)",10000
28,synchronous,none,standard_model,"scale_free(N, 5)",100
29,synchronous,none,standard_model,"scale_free(N, 5)",1000
30,synchronous,none,standard_model,"scale_free(N, 5)",10000
31,synchronous,none,similarity_bias,erdos_renyi_random(N),100
32,synchronous,none,similarity_bias,erdos_renyi_random(N),1000
33,synchronous,none,similarity_bias,erdos_renyi_random(N),10000
34,synchronous,none,similarity_bias,"small_world(N, 0.0, 3)",100
35,synchronous,none,similarity_bias,"small_world(N, 0.0, 3)",1000
36,synchronous,none,similarity_bias,"small_world(N, 0.0, 3)",10000
37,synchronous,none,similarity_bias,"small_world(N, 0.0, 10)",100
38,synchronous,none,similarity_bias,"small_world(N, 0.0, 10)",1000
